Year,Tonal_S,Pitch_SD,MIS,Onset_Density,TI_OD,ISO,PIC,RIC
1993,0.6755448648897188,0.38152565301382535,0.5430311379025289,0.14926639639300354,0.35016361860551226,0.5247473435550869,0.5836855266125938,0.7484549098313922
1994,0.7428003759162977,0.4258952982106609,0.5194110614176389,0.22612321303227428,0.4266500119640471,0.49435594251017795,0.526122236217018,0.6818814228051107
1995,0.661503154813525,0.44043295641555846,0.42825064331575335,0.23330241411494648,0.41808947849907685,0.36228896528889676,0.5837551908324474,0.7615320910088978
1996,0.6685814612172862,0.4515037616361602,0.3985118029689258,0.32606753147743245,0.510899007150483,0.4624908808483098,0.5336539210475487,0.4965297775187115
1997,0.6613084717927478,0.43520966261800925,0.2902764235636986,0.4122937587843424,0.5688693640568748,0.53918316350117,0.4586764421304846,0.4241844708477785
1998,0.5776805531074632,0.39072987256467434,0.37970849279753033,0.43635414690270846,0.5992669083565754,0.5601979454632041,0.4566671574584389,0.4453297150049207
1999,0.5535214572064072,0.38024225668440753,0.4388272774030825,0.4499896098669046,0.6172962327657318,0.588048690127637,0.40810189705946076,0.41253861371227457
2000,0.4891809345142578,0.3046992930464907,0.48244896734417125,0.5493612002136002,0.7036322553417723,0.6698423602347456,0.2918361550629155,0.2733015412409779
2001,0.26556740333823137,0.15801880291856696,0.3298666289282587,0.7251318599226659,0.8981135548172744,0.6782051073500692,0.1375190771998713,0.19439154609418524
2002,0.12232721485710761,0.1251999700026973,0.44709215883402464,0.7645647978522,0.8606525437933318,0.6630883307277459,0.10023045545657248,0.2441384530157422
2003,0.0,0.07513662711518823,0.3548010040308964,0.8403317088547726,0.9292376886090056,0.7066745889714228,0.08593473886084127,0.17234195404272667
2004,0.1983146632425554,0.1532836201616729,0.325780061259378,0.9030008488866654,1.0,0.6629441933199575,0.0830049456563997,0.17518162129259093
2005,0.2256298379787394,0.14714291726099596,0.28155528185031553,0.8695560578336387,0.9769915843096559,0.616236955540148,0.09572341394877243,0.20430271522341095
2006,0.3437860062894704,0.21369828177238795,0.3041897731582678,0.7606264218897076,0.7534307509527669,0.627337039409504,0.13474589350733734,0.2606042599876037
2007,0.41555364327726696,0.21648970090066574,0.17606907656483164,0.7847593269356842,0.7420180470582021,0.7411161047060486,0.14358612434611,0.1325467134258369
2008,0.5786265117335035,0.19913703666605498,0.23420456836324996,0.7034155553574531,0.5813254245426807,0.6882340072637363,0.13452934680994674,0.17824823879756121
2009,0.42326899915649335,0.08032985198145857,0.09338765731619221,0.6533281445215953,0.4318852616628103,0.7823548882502802,0.0854842610350664,0.13351121903833033
2010,0.5401332731823518,0.1960273551224025,0.11324867109805525,0.6398153608457212,0.3634751135718771,0.8896011099554278,0.07750989798637861,0.11375624460876045
2011,0.5293580646879433,0.15956703329641192,0.0,0.6959617535979311,0.3875522942452679,0.9166800235131995,0.06608119039161459,0.04164445465532044
2012,0.5300410136290586,0.16777776741902603,0.09961914433620897,0.646810936816837,0.3530020499919535,0.782342473421546,0.057472405448000266,0.1535974761615103
2013,0.5482195908746446,0.21395942485305283,0.00995054576818703,0.7305343742191804,0.4439608955312458,0.7919147873284963,0.0013366470114673126,0.14662783820107866
2014,0.5045941319012084,0.20595314326311526,0.1442228424690429,0.7746332947002352,0.5397777299166813,0.7847702734232338,0.03332132406655267,0.16125472219133893
2015,0.32762373419088686,0.13022468237173618,0.1186560679448555,0.8668811811587617,0.6519782413507912,0.8471065480996914,0.020957828295983572,0.10334035629283031
2016,0.3858031873111701,0.15488320288174898,0.22885321365572278,0.8294853269800426,0.725994805072787,0.8385976530569603,0.04473229922153513,0.12460312900546745
2017,0.35195872327930655,0.11617219737147874,0.19688141742872747,0.9405280739558955,0.8355444854334853,0.9863432213454357,0.0,0.00016570834053840965
2018,0.23684539728141873,0.13316214681546198,0.23490574715915363,0.941448738165035,0.7937507385874866,0.9409979291183695,0.06300497326708389,0.02986957799931226
2019,0.15688884986537513,0.13177496353788126,0.2864487336736441,0.9919374670224037,0.7851010407249449,1.0,0.04783581921830423,0.0
2020,0.030104440311052746,0.0,0.1880758630214499,1.0,0.7461989360992655,0.9531824999904261,0.016497715057164304,0.047694520475353296
2021,,,,,,,,
2022,,,,,,,,
