Year,Tonal_S,Pitch_SD,MIS,Onset_Density,TI_OD,ISO,PIC,RIC
1979,0.7664689821516802,2.7119103142430605,2.163997281423515,2.0725307423248216,4.227132936507936,0.38791342047385496,3.3905834,2.596242475
1980,0.771159724046327,3.2065839650234267,2.3027780838816985,1.697021694339037,3.5175065640291203,0.3559835898903115,3.9162613928571433,2.4837577357142857
1981,0.7800015510941573,2.9726551489342112,2.1105326867639675,1.7566514505525925,4.139379324379324,0.4016699100659046,3.9925677333333334,2.7705329133333336
1982,0.731282878654944,2.760754225197226,1.8625741956436617,2.5248843914520314,5.868973965848966,0.42705934315217525,3.332558675,2.1426308583333333
1983,0.7889424574694477,2.777602180743905,1.8507682157024263,2.261359508105261,4.192754930254931,0.3932483705887202,3.774755491666667,2.3695411416666667
1984,0.7220613363868332,2.7776293874911704,1.8788186389259662,2.1478421145181574,4.38218536513991,0.4338442356339352,3.6640448545454545,2.247288127272727
1985,0.7356532137301675,2.8923160139689013,2.1854790788781697,2.1086391254047308,4.717169220629428,0.36414504649094526,3.7338634764705882,2.342427029411765
1986,0.7515498635448815,3.3297229646490445,2.501973807882399,1.5181276135646076,4.531807692609323,0.3196776461206429,4.20758064375,2.89302865
1987,0.7194935586366095,2.4862243210939723,1.6556426437310525,2.2389847303835415,5.277893294069765,0.4167415325418003,3.26481186,2.246293086666667
1988,0.77049767665621,3.0465634636350782,2.2244092016813912,2.318386517478008,4.785037348272643,0.415680586767939,3.7318271470588233,2.351895711764706
1989,0.7041977310579759,2.5621090897103134,1.7076149520703836,2.2449337388256043,5.363234048560136,0.3939912333912188,3.248076969565217,2.2896928
1990,0.7677507194755737,2.9573646412543733,2.1194810009803953,2.008846358110296,5.077348484848485,0.45971226036687346,3.6920646266666663,2.3354604533333334
1991,0.7079947081254075,2.609434850945171,1.9882628014744193,1.7895612781928507,5.053822055137845,0.4358706956137867,4.017733389473684,2.542218194736842
1992,0.7563588020155233,2.9760460513238307,2.139653779677633,2.027135752806984,5.310833333333333,0.5265349780280937,3.49333628,2.083272
1993,0.7437830243172558,3.017684991993474,2.352229853121974,1.4950762156053474,4.238333333333333,0.38621030744061957,4.02399804,3.2826119499999997
