ID,Year,Tonal_S,Pitch_SD,MIS,Onset_Density,TI_OD,ISO,PIC,RIC
2020_03_3,2020,0.8276547168304635,4.098640405841866,1.4142857142857144,4.545719513068546,8.8125,0.6330935251798561,3.2242837,1.6026758
1958_03a_3,1958,0.8043467656532436,3.103651568914348,2.769230769230769,0.6253336043112285,2.0,0.1666666666666666,5.6398396,4.2249045
2015_03_1,2015,0.7842211143158712,4.897431926715605,2.245614035087719,2.0365392000877818,6.444444444444445,0.6607142857142857,3.4846973,1.792756
2002_05_1,2002,0.6594196374896196,2.1931595882634345,2.6296296296296298,1.587547515046118,3.111111111111111,0.1538461538461538,3.0983696,2.0333915
2014_03_1,2014,0.6375584561094786,2.1613015730795,1.7246376811594204,2.2307252556059103,4.117647058823529,0.2941176470588235,3.2103407,2.044107
2003_05_1,2003,0.6959084866451973,2.497963140967271,1.6388888888888888,2.002501733759743,6.636363636363637,0.4366197183098591,3.0749006,1.9831116
1967_05_1,1967,0.7187762330411978,2.23606797749979,1.0975609756097562,1.9649122807017545,2.8,0.225,3.2755723,2.6460872
1970_03_1,1970,0.892450986274564,4.330681914422507,3.1584158415841586,2.1004943211696223,4.636363636363637,0.45,2.9496343,2.0590427
1966_05_1,1966,0.6270361520264556,2.2596715917317147,2.388888888888889,1.888412017167382,3.6666666666666665,0.3396226415094339,3.0915504,2.114013
2021_01_1,2021,0.850112255896911,2.798656287328348,0.6235294117647059,4.770382569497281,10.75,0.8333333333333334,2.4183311,1.201913
1997_01a_1,1997,0.8513404964879785,3.3437140528026843,2.25,1.5578953600002494,5.285714285714286,0.3142857142857143,4.8341165,2.2996538
2020_01_1,2020,0.6118837425333359,2.461038556188679,2.909090909090909,2.5335387152918525,3.2857142857142856,0.3333333333333333,3.6747947,2.2796853
2013_04_2,2013,0.6029506860302514,0.7340592450249582,0.7592592592592593,4.115769358913386,6.875,0.5660377358490566,1.7485994,1.2585832
2004_02_2,2004,0.8252068709263274,3.92786053661804,2.0,2.89703200132648,5.6875,0.5730337078651685,3.6625402,1.5903448
2012_04_2,2012,0.8168618965439518,2.3258809561588105,2.406779661016949,3.387435426960716,7.5,0.4137931034482758,2.352901,1.480659
1973_04_8,1973,0.6473364042595197,2.687165923409155,2.21,1.9380364024788228,5.611111111111111,0.303030303030303,3.4589586,2.7408576
2015_01_3,2015,0.7923471332261173,2.0068752351270844,0.3846153846153846,4.151228220414562,8.25,0.421875,1.5051811,1.9614307
2014_01_3,2014,0.67348311574638,2.0580170084657623,1.9642857142857144,2.6238778539619707,3.625,0.1481481481481481,3.5055099,2.5244446
1988_03_4,1988,0.6965747928724504,2.410752661527459,1.2857142857142858,2.518307130988871,4.5,0.3823529411764705,2.8456194,2.2488678
2014_01_2,2014,0.7208592961719066,2.391517500600544,1.6933333333333334,3.168007294753639,4.75,0.4594594594594595,2.6522934,1.7424453
2015_01_2,2015,0.7475410437338934,2.134881360784839,1.0217391304347827,2.6122159614573004,5.875,0.1555555555555555,2.4157088,2.2079837
1952_05_2,1952,0.8999791762694885,3.4448193051815466,2.1463414634146343,1.122291344829026,1.826086956521739,0.0,4.5229774,1.4396906
2012_04_3,2012,0.671913933699413,1.569089167742398,1.0,2.180837947557511,4.375,0.3939393939393939,2.548487,1.3270116
2004_02_3,2004,0.8633692856562231,3.9951474238725737,1.801526717557252,3.8541318166610905,7.764705882352941,0.5076923076923077,3.1000848,2.1248486
2013_04_3,2013,0.6252441207489619,3.077265364207564,0.9230769230769232,3.966105018589263,7.571428571428571,0.6078431372549019,2.3831706,1.1438279
1953_05_2,1953,0.7387245453586015,3.5816191684444334,2.046511627906977,1.330863975720202,5.5,0.2142857142857142,4.6406054,3.8233764
1995_03_1,1995,0.8103081170299363,3.183371927658277,1.6164383561643836,1.8500008325003747,4.625,0.5972222222222222,2.974584,1.5176456
1982_05_1,1982,0.8431385542435722,3.0244422721033475,1.88,3.076189245714778,6.375,0.3673469387755102,3.450903,2.3765392
1994_03_1,1994,0.7761880082892556,3.851593837167308,2.393939393939394,1.5154381980657072,4.25,0.28125,4.7419076,2.6090846
1983_05_1,1983,0.7338675425845271,3.5714146642702262,1.9761904761904765,3.464924937538181,5.375,0.7073170731707317,3.7411149,1.4615438
1954_02_1,1954,0.6941983251567213,2.878947364003302,3.96875,1.3372053758357534,2.75,0.1290322580645161,4.7660403,2.4219093
1955_02_1,1955,0.8350188111207673,2.6862737168789157,2.72972972972973,2.5092720263347505,3.4545454545454546,0.75,4.4380403,1.5075035
1958_03a_2,1958,0.7846849999363638,3.815572532399299,3.2666666666666666,1.374359569914788,4.0,0.1428571428571428,5.721159,3.140368
